brand, product_name, shipping_cost
GIGABYTE GeForce RTX 2080 GAMING OC 8G Video Card| GV-N2080GAMING OC-8GC,Free Shipping
ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),$4.99 Shipping
EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition| 08G-P4-5173-KR| 8GB GDDR5| LED| DX12 OSD Support (PXOC),Free Shipping
MSI GeForce RTX 2070 DirectX 12 RTX 2070 DUKE 8G OC Video Card,Free Shipping
ASUS DUAL RTX 2080 Overclocked Edition 8GB VR Ready Gaming Graphics Card - Turing Architecture (DUAL-RTX2080-O8G),Free Shipping
ASRock Phantom Gaming X Radeon RX 580 DirectX 12 RX580 8G OC Video Card,Free Shipping
GIGABYTE GeForce RTX 2070 GAMING OC 8G Video Card| GV-N2070GAMING OC-8GC,Free Shipping
EVGA GeForce GTX 1060 GAMING| ACX 2.0 (Single Fan)| 06G-P4-6161-KR| 6GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches,Free Shipping
MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC Video Card,$4.99 Shipping
ASUS GeForce GTX 1060 DUAL-GTX1060-O6G Video Card,Free Shipping
SAPPHIRE Radeon RX Vega 64 DirectX 12 21275-03-20G Video Card,$4.99 Shipping
MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC Video Card,Free Shipping
